country,iso,value,unit,rank
China,cn,1470.090168,$,1
Sweden,se,1785.752581,$,2
Norway,no,2296.52274,$,3
United States,us,4947.916667,$,4
Canada,ca,5688.159014,$,5
Belgium,be,6320.684384,$,6
Estonia,ee,6320.684384,$,7
Spain,es,6320.684384,$,8
Czechia,cz,6433.997671,$,9
Hungary,hu,6767.260274,$,10
