country,iso,value,unit,rank
United States,us,4.370411182,$ mn,1
Japan,jp,2.0215,$ mn,2
China,cn,1.32,$ mn,3
France,fr,0.625797,$ mn,4
Italy,it,0.517369,$ mn,5
Germany,de,0.2815,$ mn,6
Canada,ca,0.237052,$ mn,7
Sweden,se,0.215373,$ mn,8
Poland,pl,0.20338,$ mn,9
Finland,fi,0.196359,$ mn,10
