name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Botswana,0.601364569023,0.371326234315,0.355252898175,0.588840655186,1.22406015038
Cameroon,0.646361891866,0.243298891799,0.884382085007,0.563890985157,0.664661654135
Côte d'Ivoire,1.18773651849,0.00554706218149,0.418605529886,0.710414217187,1.13909774436
DR Congo,0.553784541566,0.188008332087,1.07162646938,0.5460569032,0.715977443609
Ethiopia,1.17853437666,0.529370416764,0.96616352332,1.16954790043,2.62932330827
Ghana,1.05133338639,0.17321944566,1.76095774495,1.0661353312,2.19661654135
Kenya,1.75060589123,0.798391030079,1.7414240779,1.74331350277,3.61560150376
Liberia,1.4927344027,0.433522496247,0.183486719535,0.889949846251,1.02988721805
Malawi,1.29292581555,0.112779678552,1.59812962254,1.00720863557,1.44323308271
Mozambique,0.843661822837,0.361139006352,0.819278754332,0.769365537424,1.33778195489
Nigeria,1.48448442915,1.12647764628,1.01078363486,1.57762152807,3.29511278195
Rwanda,2.012106947,0.772763813748,0.666666666667,1.41493320112,1.85507518797
Senegal,1.17778420893,0.0240649469768,0.690997944299,0.860723460814,1.85827067669
Sierra Leone,1.19415432764,0.49322361701,0.265051784893,0.794803877128,0.862781954887
South Africa,1.70341370469,0.564417994804,2.77021363023,1.90767029327,4.27631578947
Tanzania,1.37326697003,0.476096956865,0.972641806873,1.22168816114,2.55770676692
Uganda,1.60895906351,0.651375030644,1.767450824,1.68150097624,3.8492481203
Zambia,0.94779269908,0.296534225814,1.5068749723,0.993206337583,1.99398496241
Zimbabwe,0.846102426166,0.212931719264,0.96743924782,0.703301035073,1.03909774436
