name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Argentina,1.1853333957,0.256652054835,2.6625,1.39359607999,2.95394736842
Bahamas,0.717240884312,0.82821898386,0.7675,0.746704154146,0.641447368421
Barbados,1.20440018068,0.49967412207,0.975833333333,0.940372835209,1.08223684211
Belize,1.68713631816,0.563296303939,1.45666666667,1.13142236581,0.460526315789
Bolivia,1.01741502139,0.534723344717,1.43916666667,0.889836959338,0.710526315789
Brazil,2.2364099764,1.00439272958,2.98083333333,2.29481601996,4.34539473684
Chile,1.9574946314,1.92450253899,3.205,2.35771045636,3.44407894737
Colombia,1.4038510019,0.451895691221,2.88916666667,1.44775384497,2.11513157895
Costa Rica,1.59615785715,0.843306391459,2.18083333333,1.50673795504,1.92105263158
Dominican Republic,1.46086356613,0.732539521006,1.88583333333,1.20342965118,0.776315789474
Ecuador,1.49034981068,0.450205714332,2.04083333333,1.19275427015,1.03618421053
El Salvador,1.81934032762,0.507900845625,1.3475,1.26479717421,1.21710526316
Guatemala,2.11079993626,0.713756078012,1.6925,1.49488758738,1.21710526316
Guyana,0.998715595111,0.315162654284,1.07416666667,0.665028455382,0.0657894736842
Haiti,1.02284694397,0.343806511408,0.4875,0.782943324995,1.31691729323
Honduras,1.85288190901,2.5983303809,2.0425,2.02982293051,1.35197368421
Jamaica,1.18968154532,2.03370474075,1.36583333333,1.40730640877,0.776315789474
Mexico,1.37217083901,1.54069352266,2.9,2.02189876082,3.83881578947
Nicaragua,1.67258706791,1.33018476661,1.52333333333,1.44264288873,0.973684210526
Panama,2.32144811028,0.974761465879,1.36666666667,1.61646821019,1.26973684211
Paraguay,0.73169544468,0.213427159999,1.47916666667,0.618055010082,0.263157894737
Peru,1.56280211523,0.748878435627,2.91833333333,1.60431069257,2.11184210526
Suriname,0.929939083875,0.353692802976,0.308333333333,0.553938737601,0.197368421053
Trinidad and Tobago,0.659080860163,0.48088448432,0.5625,0.634377952519,0.947368421053
Uruguay,2.55411753455,2.13887010518,2.74333333333,2.28648567695,1.41118421053
Venezuela,0.4402300435,0.232116135986,0.745,0.557805805564,1.33552631579
