name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Botswana,0.822308115671,0.494716981132,1.0425,0.836072363165,1.34906015038
Cameroon,1.64839773516,0.322210173192,1.3775,1.1332016573,1.13703007519
Côte d'Ivoire,0.992187732284,0.0268180747481,0.730833333333,0.707910176992,1.28909774436
DR Congo,0.792302915139,0.210320855615,1.67416666667,0.738539039282,0.715977443609
Egypt,1.02723477896,0.352402838648,1.54,0.967187131599,1.46381578947
Ethiopia,1.23282502816,0.937921768465,1.33416666667,1.29205635383,2.11616541353
Ghana,1.49929035988,0.559566781912,1.58583333333,1.34284839657,2.2492481203
Jordan,2.31451348116,1.61971829427,1.28083333333,1.87029324917,1.77631578947
Kenya,1.82184085976,1.22493844228,2.51083333333,2.01123573373,3.58928571429
Lebanon,0.869829015551,0.554724964739,1.47416666667,1.02067146406,1.90131578947
Liberia,1.38665176644,1.74175210098,0.548333333333,1.329116788,1.13120300752
Malawi,1.02066885704,0.179,1.34,0.883,1.46954887218
Mozambique,0.972080761464,0.273170009176,0.85,0.798950600572,1.33778195489
Nigeria,1.40786192083,0.244260387487,1.65083333333,1.33686743345,3.01879699248
Rwanda,2.32504533397,0.560702220989,1.54666666667,1.72513481492,2.63270676692
Senegal,1.47541024383,0.0716097033215,0.955833333333,1.08645997845,2.20958646617
Sierra Leone,1.22962000793,1.73998398292,1.38666666667,1.35126049128,0.862781954887
South Africa,1.27687173149,1.76762507942,3.38583333333,2.21009542695,4.40789473684
Tanzania,1.30347345616,1.3434571722,1.7375,1.52726018074,2.28139097744
Uganda,1.59507149256,1.63157230104,2.32583333333,2.0464598738,3.80056390977
Zambia,1.1589994163,0.343845082834,1.60583333333,1.06863393047,1.74003759398
Zimbabwe,1.03422146651,0.677361906793,1.32083333333,1.01213682029,1.31409774436
