name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Andhra Pradesh,1.06003387582,0.300557796195,0.916666666667,0.95266773129,2.00657894737
Bangladesh,1.42048632813,0.339551692393,2.01833333333,1.40028184348,2.84981203008
Bihar,0.532582093931,0.00110404798788,1.16666666667,0.630140367758,1.61184210526
China,1.64487606037,2.19429371742,3.05916666667,2.52511353937,5.0
India,1.84827709601,1.18895414838,2.71583333333,2.16702339871,4.42434210526
Indonesia,1.30930709265,0.507902372573,2.68666666667,1.6919224962,4.08552631579
Madhya Pradesh,1.03690251666,0.0,1.25,0.884004427717,1.87828947368
Myanmar,0.942789477433,0.325095858789,0.463333333333,0.9001689847,2.3734962406
Nepal,1.82642197056,0.557471835715,1.40666666667,1.5446562036,2.90563909774
Odisha,0.664050375693,0.0,1.0,0.648514887119,1.55263157895
Pakistan,1.75542625369,0.936990574884,1.54,1.86676767394,4.35
Sri Lanka,1.16221332339,0.718178812953,1.54583333333,1.37948371008,3.11513157895
Tajikistan,0.685927110567,0.158327554313,1.67833333333,0.669342794731,0.638157894737
Uttar Pradesh,0.739600797003,2.38680385254e-05,1.16666666667,0.713610637108,1.61842105263
Vietnam,1.07292478796,0.895117326417,2.28,1.55681037627,3.44736842105
West Bengal,0.761568274979,0.00179424566707,1.08333333333,0.758784004745,1.94078947368
