name:en_aa,name:en_var,type_var,unit,2013,2014
Bahamas,Corporate finance investments,value,USDm,0.00,0.00
Bahamas,VC/PE investments,value,USDm,0.00,0.00
Bahamas,"Loans, grants, grant programs",value,USDm,0.00,0.00
Bahamas,Local investments,value,USDm,0.00,0.00
Bahamas,Average cost of debt,value,%,4.75,4.80
Bahamas,Swap rate,value,%,4.50,4.50
Bahamas,Score,score,score,0.52704,0.48056
Bahamas,Enabling framework,param,score,0.46560,0.35626
Bahamas,Clean energy policies,ind,score,0.00000,0.00000
Bahamas,Power sector structure,ind,score,0.04020,0.03273
Bahamas,Distributed energy regulatory framework,ind,score,0.00000,0.00000
Bahamas,Clean energy rural electrification,ind,score,0.00000,0.00000
Bahamas,Energy access policies,ind,score,0.00000,0.00000
Bahamas,Policy barriers,ind,score,0.00081,0.00038
Bahamas,Clean energy installed capacity,ind,score,0.00000,0.00000
Bahamas,Growth rate of installed capacity,ind,score,0.00000,0.00000
Bahamas,Clean energy electricity generation,ind,score,0.00000,0.00000
Bahamas,Growth rate of electricity generation,ind,score,0.00000,0.00000
Bahamas,Biofuels production,ind,score,0.00000,0.00360
Bahamas,Growth rate biofuels production,ind,score,0.00000,0.00000
Bahamas,Average electricity spot prices,ind,score,0.00000,0.00000
Bahamas,Average retail electricity prices,ind,score,0.14363,0.10379
Bahamas,Average residential electricity prices,ind,score,0.00000,0.00000
Bahamas,Average commercial electricity prices,ind,score,0.00000,0.00000
Bahamas,Average industrial electricity prices,ind,score,0.00000,0.00000
Bahamas,Average kerosene prices,ind,score,0.00000,0.00000
Bahamas,Average diesel prices,ind,score,0.00000,0.00000
Bahamas,Growth rate of power demand,ind,score,0.00000,0.00000
Bahamas,Electrification rate,ind,score,0.00160,0.00200
Bahamas,Population using solid fuels for cooking,ind,score,0.00000,0.00000
Bahamas,Financing and Investments,param,score,0.63984,0.59780
Bahamas,Clean energy investments,ind,score,0.00000,0.00000
Bahamas,Growth rate of clean energy investments,ind,score,0.00000,0.00000
Bahamas,Asset finance investments,ind,score,0.00000,0.00000
Bahamas,Corporate finance investments,ind,score,0.00000,0.00000
Bahamas,VC/PE investments,ind,score,0.00000,0.00000
Bahamas,"Loans, grants, grant programs",ind,score,0.00000,0.00000
Bahamas,Local investments,ind,score,0.00000,0.00000
Bahamas,Number of Green MFI,ind,score,0.00000,0.00000
Bahamas,Green micro-loans,ind,score,0.00000,0.00000
Bahamas,Green micro-borrowers,ind,score,0.00000,0.00000
Bahamas,Average cost of green micro debt,ind,score,0.00000,0.00000
Bahamas,Average cost of debt,ind,score,0.11403,0.09434
Bahamas,Swap rate,ind,score,0.07792,0.08500
Bahamas,Value chains,param,score,0.57566,0.64145
Bahamas,Financial institutions in clean energy,ind,score,0.03750,0.03750
Bahamas,Value chains by clean energy sector,ind,score,0.03947,0.04934
Bahamas,Distributed clean energy value chains by sector,ind,score,0.00000,0.00000
Bahamas,Clean energy service providers,ind,score,0.00938,0.00938
Bahamas,Distributed clean energy service providers,ind,score,0.00000,0.00000
Bahamas,GHG management,param,score,0.41667,0.41667
Bahamas,Carbon offsets historical activity,ind,score,0.00000,0.00000
Bahamas,CDM risk,ind,score,0.02500,0.02500
Bahamas,Carbon offsets future potential,ind,score,0.00000,0.00000
Bahamas,GHG emissions reduction target,ind,score,0.00000,0.00000
Bahamas,GHG country registry,ind,score,0.00000,0.00000
Bahamas,GHG market-based instruments,ind,score,0.00000,0.00000
Bahamas,PMR & NAMA,ind,score,0.00000,0.00000
Bahamas,Voluntary GHG reporting by corporates,ind,score,0.00000,0.00000
Bahamas,Investor pressure – PRI signatories,ind,score,0.00000,0.00000
Bahamas,Corporate energy efficiency initiatives,ind,score,0.00000,0.00000
Bahamas,Corporate emission reduction policies,ind,score,0.00000,0.00000
Bahamas,Capacity building – env. business training,ind,score,0.00000,0.00000
Bahamas,Capacity building – think tanks,ind,score,0.03750,0.03750
Bangladesh,Solar capacity,value,MW,0.00,0.00
Bangladesh,Wind capacity,value,MW,0.00,0.00
Bangladesh,Biomass & waste capacity,value,MW,0.00,0.00
Bangladesh,Geothermal capacity,value,MW,0.00,0.00
Bangladesh,Small hydro capacity,value,MW,0.00,0.00
Bangladesh,Large hydro capacity,value,MW,230.00,230.00
Bangladesh,Nuclear capacity,value,MW,0.00,0.00
Bangladesh,Coal capacity,value,MW,250.00,250.00
Bangladesh,Natural gas capacity,value,MW,5986.00,6681.00
Bangladesh,Oil & diesel capacity,value,MW,2555.00,3592.00
Bangladesh,Other fossil fuels capacity,value,MW,0.00,0.00
Bangladesh,All capacity,value,MW,9021.00,10753.00
Bangladesh,Clean energy installed capacity,value,MW,0.00,0.00
Bangladesh,Growth rate of clean energy installed capacity,value,%,0.00,0.00
Bangladesh,Solar generation,value,GWh,0.00,0.00
Bangladesh,Wind generation,value,GWh,0.00,0.00
Bangladesh,Biomass & waste generation,value,GWh,0.00,0.00
Bangladesh,Geothermal generation,value,GWh,0.00,0.00
Bangladesh,Small hydro generation,value,GWh,0.00,0.00
Bangladesh,Large hydro generation,value,GWh,729.63,737.00
Bangladesh,Nuclear generation,value,GWh,0.00,0.00
Bangladesh,Coal generation,value,GWh,1254.74,1125.00
Bangladesh,Natural gas generation,value,GWh,29127.98,30269.00
Bangladesh,Oil & diesel generation,value,GWh,7333.35,10867.00
Bangladesh,Other fossil fuels generation,value,GWh,0.00,0.00
Bangladesh,All generation,value,GWh,38445.70,42998.00
Bangladesh,Clean energy electricity generation,value,GWh,0.00,0.00
Bangladesh,Growth rate of clean energy electricity generation,value,%,0.00,0.00
Bangladesh,Biofuels production,value,bn litres,0.00,0.00
Bangladesh,Growth rate biofuels production,value,%,0.00,0.00
Bangladesh,Average retail electricity prices,value,USD/MWh,82.42,88.00
Bangladesh,Average residential electricity prices,value,USD/MWh,50.87,54.00
Bangladesh,Average commercial electricity prices,value,USD/MWh,107.03,113.00
Bangladesh,Average industrial electricity prices,value,USD/MWh,89.37,98.00
Bangladesh,Average electricity spot prices,value,USD/MWh,60.16,60.16
Bangladesh,Average kerosene prices,value,USD/litre,0.87,0.87
Bangladesh,Average diesel prices,value,USD/litre,1.27,1.27
Bangladesh,Power demand,value,MW,7000.00,7819.00
Bangladesh,Growth rate of power demand,value,%,5.26,11.70
Bangladesh,Electrification rate,value,%,62.00,62.00
Bangladesh,Population using solid fuels for cooking,value,%,89.00,89.00
Bangladesh,Clean energy investments,value,USDm,0.00,0.00
Bangladesh,Growth rate of clean energy investments,value,%,0.00,0.00
Bangladesh,Asset finance investments,value,USDm,0.00,0.00
Bangladesh,Corporate finance investments,value,USDm,0.00,0.00
Bangladesh,VC/PE investments,value,USDm,0.00,0.00
Bangladesh,"Loans, grants, grant programs",value,USDm,242.04,89.85
Bangladesh,Local investments,value,USDm,0.00,0.00
Bangladesh,Average cost of debt,value,%,13.00,13.00
Bangladesh,Swap rate,value,%,5.00,5.00
Bangladesh,Score,score,score,1.26432,1.20179
Bangladesh,Enabling framework,param,score,1.22755,1.29761
Bangladesh,Clean energy policies,ind,score,0.06483,0.06658
Bangladesh,Power sector structure,ind,score,0.16683,0.13818
Bangladesh,Distributed energy regulatory framework,ind,score,0.05778,0.09333
Bangladesh,Clean energy rural electrification,ind,score,0.04000,0.04000
Bangladesh,Energy access policies,ind,score,0.05925,0.05991
Bangladesh,Policy barriers,ind,score,0.00517,0.00248
Bangladesh,Clean energy installed capacity,ind,score,0.00000,0.00000
Bangladesh,Growth rate of installed capacity,ind,score,0.00000,0.00000
Bangladesh,Clean energy electricity generation,ind,score,0.00000,0.00000
Bangladesh,Growth rate of electricity generation,ind,score,0.00000,0.00000
Bangladesh,Biofuels production,ind,score,0.00000,0.00000
Bangladesh,Growth rate biofuels production,ind,score,0.00000,0.00000
Bangladesh,Average electricity spot prices,ind,score,0.01385,0.01319
Bangladesh,Average retail electricity prices,ind,score,0.00926,0.00926
Bangladesh,Average residential electricity prices,ind,score,0.00000,0.00000
Bangladesh,Average commercial electricity prices,ind,score,0.00000,0.00000
Bangladesh,Average industrial electricity prices,ind,score,0.00000,0.00000
Bangladesh,Average kerosene prices,ind,score,0.02146,0.02012
Bangladesh,Average diesel prices,ind,score,0.01837,0.02540
Bangladesh,Growth rate of power demand,ind,score,0.01296,0.02855
Bangladesh,Electrification rate,ind,score,0.00310,0.00387
Bangladesh,Population using solid fuels for cooking,ind,score,0.01816,0.01816
Bangladesh,Financing and Investments,param,score,0.96363,0.66498
Bangladesh,Clean energy investments,ind,score,0.00025,0.00017
Bangladesh,Growth rate of clean energy investments,ind,score,0.00000,0.00000
Bangladesh,Asset finance investments,ind,score,0.00000,0.00000
Bangladesh,Corporate finance investments,ind,score,0.00000,0.00000
Bangladesh,VC/PE investments,ind,score,0.00000,0.00000
Bangladesh,"Loans, grants, grant programs",ind,score,0.00934,0.00870
Bangladesh,Local investments,ind,score,0.00000,0.00000
Bangladesh,Number of Green MFI,ind,score,0.07809,0.00027
Bangladesh,Green micro-loans,ind,score,0.05850,0.05850
Bangladesh,Green micro-borrowers,ind,score,0.02383,0.01353
Bangladesh,Average cost of green micro debt,ind,score,0.00729,0.00699
Bangladesh,Average cost of debt,ind,score,0.04167,0.03483
Bangladesh,Swap rate,ind,score,0.07013,0.07650
Bangladesh,Value chains,param,score,2.57086,2.57086
Bangladesh,Financial institutions in clean energy,ind,score,0.09000,0.09000
Bangladesh,Value chains by clean energy sector,ind,score,0.01974,0.01974
Bangladesh,Distributed clean energy value chains by sector,ind,score,0.09375,0.09375
Bangladesh,Clean energy service providers,ind,score,0.07500,0.07500
Bangladesh,Distributed clean energy service providers,ind,score,0.10714,0.10714
Bangladesh,GHG management,param,score,0.65719,0.65081
Bangladesh,Carbon offsets historical activity,ind,score,0.00000,0.00000
Bangladesh,CDM risk,ind,score,0.01250,0.01250
Bangladesh,Carbon offsets future potential,ind,score,0.00589,0.00589
Bangladesh,GHG emissions reduction target,ind,score,0.00000,0.00000
Bangladesh,GHG country registry,ind,score,0.00000,0.00000
Bangladesh,GHG market-based instruments,ind,score,0.00000,0.00000
Bangladesh,PMR & NAMA,ind,score,0.00000,0.00000
Bangladesh,Voluntary GHG reporting by corporates,ind,score,0.00411,0.00138
Bangladesh,Investor pressure – PRI signatories,ind,score,0.00000,0.00000
