2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,indicator,unit
290,37081,104863,180892.974,265527.428,453883.408,719599.464,1095516.07,1937338.44,2121665.71,3198816.28,6580381.991,Annual EV sales,million vehicle sales
2.58614E-06,0.0001,0.001,0.0023,0.0029,0.0084,0.0087,0.0105,0.0229,0.0177,0.0353,0.078,EV share of total cars sold,%
