country,iso,value,unit,rank
Mainland China,cn,6.074,million,1
India,in,0.048,million,2
Thailand,th,0.021,million,3
Brazil,br,0.019,million,4
Taiwan,tw,0.018,million,5
Ukraine,ua,0.017,million,6
Romania,ro,0.015,million,7
Indonesia,id,0.01,million,8
Mexico,mx,0.01,million,9
Philippines,ph,0.01,million,10
