2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,region,Unit
209.39,218.09,222.5,229.78,214.45,225.48,237.04,258.49,257.64,244.62,219.25,225.58,AMER,$/MWh
65.53,70.83,76.81,82.25,86.01,79.45,77.48,73.73,80.01,78.25,90.54,95.54,APAC,$/MWh
183.94,202.03,195.44,213.75,211.26,178.35,173.39,181.67,189.16,184.33,183.7,203.25,EMEA,$/MWh
73.01,72.78,71.42,71.59,68.66,64.41,64.69,63.94,63.39,78.99,77.19,80.33,MENA,$/MWh
