name:en_aa,2014
Argentina,1.19
Barbados,0.761
Bangladesh,1.209
Bolivia,0.655
Brazil,2.128
Bahamas,0.466
Botswana,0.749
Belize,1.304
DR Congo,0.797
Côte d'Ivoire,1.06
Chile,1.419
Cameroon,0.723
China,1.56
Hebei,1.427
Nei Mongol,1.317
Jilin,1.277
Heilongjiang,1.307
Jiangsu,1.409
Fujian,1.353
Shandong,1.451
Hubei,1.266
Guangdong,1.387
Sichuan,1.258
Yunnan,1.337
Xizang,1.375
Gansu,1.473
Qinghai,1.546
Xinjiang,1.601
Colombia,0.978
Costa Rica,1.378
Dominican Republic,1.534
Ecuador,0.999
Ethiopia,1.216
Ghana,1.17
Guatemala,1.384
Guyana,0.597
Honduras,1.264
Haiti,0.908
Indonesia,1.196
India,1.434
Andhra Pradesh,1.223
Gujarat,1.391
Karnataka,1.895
Maharashtra,1.493
Madhya Pradesh,1.291
Punjab,1.237
Rajasthan,1.347
Tamil Nadu,1.47
Uttar Pradesh,1.164
West Bengal,1.311
Jamaica,0.996
Kenya,1.459
Sri Lanka,1.07
Liberia,1.392
Myanmar,0.647
Malawi,1.188
Mexico,0.889
Mozambique,0.821
Nigeria,1.171
Nicaragua,1.556
Nepal,1.337
Panama,1.379
Peru,1.416
Pakistan,1.211
Paraguay,0.668
Rwanda,1.614
Sierra Leone,0.966
Senegal,1.132
Suriname,0.209
El Salvador,1.313
Tajikistan,0.45
Trinidad and Tobago,0.24
Tanzania,1.27
Uganda,1.307
Uruguay,1.503
Venezuela,0.107
Vietnam,1.317
South africa,0.991
Zambia,0.909
Zimbabwe,0.846
