rank,country,iso,value,unit
1,Mainland China,CN,3.158017,million vehicle units
2,Germany,DE,0.690368,million vehicle units
3,United States,US,0.656845,million vehicle units
4,United Kingdom,GB,0.353462,million vehicle units
5,France,FR,0.310919,million vehicle units
6,Norway,NO,0.15946,million vehicle units
7,Italy,IT,0.148007,million vehicle units
8,Sweden,SE,0.140686,million vehicle units
9,South Korea,KR,0.115311,million vehicle units
10,Netherlands,NL,0.100533,million vehicle units
