position,iso,country,value,unit
1,AM,Armenia,1017.39,USD
2,JP,Japan,1109.57,USD
3,MD,Moldova,1201.52,USD
4,CN,Mainland China,2000,USD
5,CL,Chile,2338,USD
6,AU,Australia,2373.14,USD
7,RO,Romania,2850,USD
8,KR,South Korea,3924.92,USD
9,PL,Poland,3975,USD
10,NZ,New Zealand,4337.5,USD
