rank,country,iso,value,unit
1,Mainland China,CN,40.74,million vehicle units
2,India,IN,618.034,thousand vehicle units
3,Vietnam,VN,318.611,thousand vehicle units
4,Taiwan,TW,79.508,thousand vehicle units
5,South Korea,KR,27.179,thousand vehicle units
6,France,FR,20.791,thousand vehicle units
7,Spain,ES,12.006,thousand vehicle units
8,Italy,IT,10.848,thousand vehicle units
9,Nepal,NP,6.745,thousand vehicle units
10,Norway,NO,6.237,thousand vehicle units
