rank,country,iso,value,unit
1,Mainland China,CN,109.8072988,$ bn
2,United States,US,34.96030654,$ bn
3,Germany,DE,31.76690836,$ bn
4,United Kingdom,GB,16.86534827,$ bn
5,France,FR,13.95956805,$ bn
6,Norway,NO,7.572319037,$ bn
7,Sweden,SE,6.439207774,$ bn
8,Italy,IT,6.123013381,$ bn
9,South Korea,KR,5.626916722,$ bn
10,Netherlands,NL,4.367885484,$ bn
