iso,region,position,country,value,unit
CN,asia,1,Mainland China,5026959,GWh
IN,asia,2,India,1100464.69,GWh
US,amer,3,United States,921200,GWh
JP,asia,4,Japan,313095.3741,GWh
KR,asia,5,South Korea,197966,GWh
ID,asia,6,Indonesia,190232,GWh
ZA,mena,7,South Africa,183553,GWh
DE,eu,8,Germany,162616.3941,GWh
RU,asia,9,Russia,151287.67,GWh
AU,asia,10,Australia,149777,GWh
