iso,region,position,country,value,unit
CN,asia,1,Mainland China,320.01,GW
US,amer,2,United States,138.99,GW
DE,eu,3,Germany,62.72,GW
IN,asia,4,India,40.08,GW
ES,eu,5,Spain,30.19,GW
GB,eu,6,United Kingdom,24.45,GW
BR,amer,7,Brazil,18.88,GW
FR,eu,8,France,18.69,GW
CA,amer,9,Canada,14.64,GW
SE,eu,10,Sweden,12.46,GW
