position,iso,country,value,unit
1,AM,Armenia,1017.39,$
2,JP,Japan,1109.57,$
3,MD,Moldova,1201.52,$
4,CN,Mainland China,2000,$
5,CL,Chile,2338,$
6,AU,Australia,2373.14,$
7,RO,Romania,2850,$
8,KR,South Korea,3924.92,$
9,PL,Poland,3975,$
10,NZ,New Zealand,4337.5,$
