iso,region,position,country,value,unit
CN,asia,1,Mainland China,42.156,GW
US,amer,2,United States,15.072,GW
VN,asia,3,Vietnam,3.476,GW
SE,eu,4,Sweden,2.484,GW
DE,eu,5,Germany,2.413,GW
BR,amer,6,Brazil,2.292,GW
TR,eu,7,Turkey,1.823,GW
NL,eu,8,Netherlands,1.811,GW
AU,asia,9,Australia,1.7966,GW
IN,asia,10,India,1.45855,GW
