name:es_aa,2015,2014
Argentina,3.54934210526,2.82565789474
Barbados,1.01644736842,0.884868421053
Bangladés,2.57086466165,2.57086466165
Bolivia,0.641447368421,0.825657894737
Brasil,4.34539473684,4.40789473684
Bahamas,0.641447368421,0.575657894737
Botsuana,1.22406015038,1.09906015038
Belice,0.460526315789,0.631578947368
RD Congo,0.715977443609,1.31729323308
Costa de Marfil,1.13909774436,1.24172932331
Chile,3.37828947368,3.18421052632
Camerún,0.664661654135,0.914661654135
China,5.0,5.0
Hebei,4.16447368421,0.921052631579
Nei Mongol,4.75,0.718421052632
Jilin,4.75,0.539473684211
Heilongjiang,4.35526315789,0.789473684211
Jiangsu,4.60526315789,1.19736842105
Fujian,3.97697368421,1.02631578947
Shandong,4.75,1.22894736842
Hubei,4.15789473684,0.815789473684
Guangdong,4.22368421053,1.52105263158
Sichuan,4.35526315789,0.902631578947
Yunnan,4.47368421053,0.644736842105
Xizang,0.25,0.302631578947
Gansu,4.10526315789,0.381578947368
Qinghai,4.75,0.486842105263
Xinjiang,4.35526315789,0.644736842105
Colombia,2.05263157895,1.98684210526
Costa Rica,1.92105263158,1.78947368421
República Dominicana,0.710526315789,0.894736842105
Ecuador,1.03618421053,0.720394736842
Etiopia,2.62932330827,2.62932330827
Ghana,2.19661654135,2.44398496241
Guatemala,1.21710526316,1.21710526316
Guyana,0.0657894736842,0.0657894736842
Honduras,1.48355263158,1.41776315789
Haiti,1.31691729323,1.57631578947
Indonesia,3.76973684211,3.64473684211
India,4.09868421053,4.09868421053
Andhra Pradesh,1.94078947368,1.30263157895
Gujarat,2.14144736842,1.33157894737
Karnataka,1.94078947368,1.27631578947
Maharashtra,2.00328947368,1.10263157895
Madhya Pradesh,0.720394736842,0.563157894737
Punjab,1.03618421053,0.539473684211
Rajasthan,1.03289473684,0.813157894737
Tamil Nadu,2.40131578947,1.46052631579
Uttar Pradesh,1.36842105263,0.897368421053
West Bengal,1.94078947368,1.02631578947
Jamaica,0.776315789474,1.02631578947
Kenia,3.61560150376,3.66560150376
Sri Lanka,3.30921052632,3.30921052632
Liberia,1.02988721805,1.02988721805
Birmania,2.6037593985,2.22086466165
Malaui,1.44323308271,1.61823308271
México,3.83881578947,2.81578947368
Mozambique,1.33778195489,1.56146616541
Nigeria,3.29511278195,3.29511278195
Nicaragua,0.973684210526,1.15789473684
Nepal,2.6530075188,2.6530075188
Panamá,1.26973684211,1.01973684211
Perú,2.11184210526,2.04605263158
Pakistán,4.32368421053,4.13082706767
Paraguay,0.197368421053,0.197368421053
Ruanda,1.85507518797,1.85507518797
Sierra Leona,0.862781954887,0.912781954887
Senegal,1.85827067669,2.15827067669
Surinam,0.197368421053,0.197368421053
El Salvador,1.21710526316,0.835526315789
Tayikistan,0.763157894737,0.763157894737
Trinidad y Tobago,0.947368421053,0.631578947368
Tanzania,2.55770676692,3.0787593985
Uganda,3.8492481203,3.92556390977
Uruguay,1.41118421053,1.16118421053
Venezuela,1.33552631579,0.888157894737
Vietnam,3.1875,2.99013157895
Sudáfrica,4.27631578947,4.34210526316
Zambia,1.99398496241,2.39530075188
Zimbabue,1.03909774436,1.26541353383
