2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,region,unit
685375.5592,715084.5081,727520.7184,748195.8727,795983.5132,805158.1428,807025.3955,829996.9846,857765.3231,854942.2406,Africa,GWh
9241261.959,9719285.411,10158855.43,10273213.96,10748790.68,11320787.53,11947569.95,12430521.27,12620236.73,13714484.39,Asia-Pacific,GWh
5887985.38,5925881.353,6000605.446,6101747.305,6179852.653,6171485.088,6373316.169,6351788.977,6289860.772,6392890.035,Americas,GWh
5026744.099,4986683.038,4911746.111,4950427.532,5010546.119,5062896.021,5055775.706,5014655.982,4860294.363,5070481.887,Europe,GWh
942948.676,967068.525,1034223.423,1089141.853,1121011.424,1171566.049,1175349.436,1213285.884,1206364.56,1237923.544,Middle East,GWh
