iso,region,country,year,unit,value,rank
cn,Asia-Pacific,Mainland China,2022,MW,48692,1
us,Northern America,US,2022,MW,8891.5,2
gb,Europe,UK,2022,MW,3807.1800000000003,3
br,Latin America,Brazil,2022,MW,2633,4
de,Europe,Germany,2022,MW,2324.5,5
fr,Europe,France,2022,MW,2252.375,6
fi,Europe,Finland,2022,MW,2209,7
au,Asia-Pacific,Australia,2022,MW,1941.92,8
se,Europe,Sweden,2022,MW,1870,9
es,Europe,Spain,2022,MW,1794,10
