iso,region,country,year,unit,value,rank
cn,Asia-Pacific,Mainland China,2022,MW,106560,1
us,Northern America,US,2022,MW,22394,2
in,Asia-Pacific,India,2022,MW,18280,3
br,Latin America,Brazil,2022,MW,14186,4
de,Europe,Germany,2022,MW,7374,5
es,Europe,Spain,2022,MW,7289,6
jp,Asia-Pacific,Japan,2022,MW,6197,7
nl,Europe,Netherlands,2022,MW,5023,8
pl,Europe,Poland,2022,MW,4508,9
au,Asia-Pacific,Australia,2022,MW,4337,10
