iso,region,country,year,unit,value,rank
cn,Asia-Pacific,Mainland China,2022,MW,440168,1
us,Northern America,US,2022,MW,138997,2
jp,Asia-Pacific,Japan,2022,MW,84082,3
in,Asia-Pacific,India,2022,MW,78448,4
de,Europe,Germany,2022,MW,68047,5
br,Latin America,Brazil,2022,MW,31965,6
au,Asia-Pacific,Australia,2022,MW,28488,7
es,Europe,Spain,2022,MW,25074,8
it,Europe,Italy,2022,MW,25007,9
kr,Asia-Pacific,South Korea,2022,MW,24432,10
