2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,region,unit
152.8427,160.5231,167.3282,179.1981,190.624,205.5092,223.1474,233.4488,241.8994,249.116,Africa,GW
244.1839,261.7106,276.1662,290.9797,300.147,303.1736,315.0409,323.7907,325.4327,335.8926,Middle East,GW
1329.0051,1350.2806,1370.9785,1386.4781,1400.7118,1420.2349,1445.0741,1478.0838,1509.5879,1551.1965,Europe,GW
1488.3578,1522.2084,1562.4015,1604.3652,1672.2304,1715.3137,1764.9694,1810.6362,1867.2672,1927.5712,Americas,GW
2041.8346,2203.7108,2385.6559,2578.6013,2779.0456,2966.033,3141.1385,3324.5018,3556.4037,3797.3783,Asia-Pacific,GW
3.829,4.687,6.763,7.937,10.973,12.857,18.01,19.096,19.567,22.918,Unknown,GW
