name:es_aa,Cadenas de valor,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Andhra Pradesh,1.30263157895,0.566584002493,1.18212603953,0.926801776137,0.913409553974
Bangladés,2.57086466165,0.963627304942,0.657193651248,1.22755459884,1.26431877795
Birmania,2.22086466165,0.262007975432,0.710670592999,0.647365709978,0.777278964819
China,5.0,1.29208220977,3.12315983581,1.56765344621,2.23316001679
Fujian,1.02631578947,0.757993001682,1.28684266746,1.0647828702,1.00028481712
Gansu,0.381578947368,2.18959115991,2.20350933412,1.18784097648,1.51977698079
Guangdong,1.52105263158,0.772117792843,2.20350933412,1.07699892319,1.22111920198
Gujarat,1.33157894737,0.742608855777,1.26545937286,1.06821735875,1.03962534827
Hebei,0.921052631579,0.89778452087,2.03684266746,1.14010584214,1.16906198797
Heilongjiang,0.789473684211,0.917526309288,1.70350933412,1.02601031126,1.05960947004
Hubei,0.815789473684,0.851076283394,1.62017600079,0.946671653568,0.999386367616
India,4.09868421053,0.845060325096,2.68196700619,1.45948462841,1.8544096314
Indonesia,3.64473684211,0.442298381816,2.40675761013,1.20025103437,1.52051409613
Jiangsu,1.19736842105,1.11987279883,2.12017600079,1.04906138452,1.25321805673
Jilin,0.539473684211,0.850415337232,2.20350933412,0.999194035243,1.06624966802
Karnataka,1.27631578947,0.993844247603,1.5987927062,1.6030212626,1.37062805367
Madhya Pradesh,0.563157894737,0.763959964299,0.765459372863,0.96097046051,0.812868763634
Maharashtra,1.10263157895,0.644099910757,1.18212603953,1.19139001936,1.01249962374
Nei Mongol,0.718421052632,1.37364671065,2.45350933412,1.07020327204,1.31596488002
Nepal,2.6530075188,0.555610002384,1.26485831049,1.3900039478,1.31036445423
Pakistán,4.13082706767,0.452694683547,0.809572699033,1.21128904546,1.36138398825
Punjab,0.539473684211,0.677477631004,1.3487927062,0.944533156835,0.864296510596
Qinghai,0.486842105263,2.28628966964,1.87017600079,1.21360425963,1.52488132065
Rajasthan,0.813157894737,1.28666017927,1.43212603953,1.07884854013,1.15433005997
Shandong,1.22894736842,0.825204911938,1.70350933412,1.12904767898,1.13904905055
Sichuan,0.902631578947,0.894355610881,2.12017600079,0.978386051113,1.11308224067
Sri Lanka,3.30921052632,0.360177525653,0.0769549543491,1.08029736671,1.04809702648
Tamil Nadu,1.46052631579,0.842926062786,1.68212603953,1.18683669877,1.19901035164
Tayikistan,0.763157894737,0.21983388868,0.801416053377,0.451215521072,0.48112246725
Uttar Pradesh,0.897368421053,0.417018534207,1.0987927062,0.860646089758,0.768788165253
Vietnam,2.99013157895,0.445121230898,1.99772178542,1.3263766328,1.41226502704
West Bengal,1.02631578947,0.33730489423,0.848792706196,1.00309228852,0.783694658027
Xinjiang,0.644736842105,1.62699964017,2.45350933412,1.23578698051,1.44715161069
Xizang,0.302631578947,1.07034198971,0.953509334122,1.11284050664,0.95465993653
Yunnan,0.644736842105,1.03805400679,2.45350933412,1.06948720856,1.20394801189
