name:es_aa,Cadenas de valor,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Argentina,3.54934210526,0.21377972435,1.77049143569,1.31800612239,1.38931139741
Bahamas,0.641447368421,0.597803819444,0.416666666667,0.356262357504,0.480563194098
Barbados,1.01644736842,0.363396671506,0.5625,0.741180975515,0.642333496921
Belice,0.460526315789,0.255392418906,1.21949651898,1.20523717512,0.810716020937
Bolivia,0.641447368421,1.7255849136,1.21287142584,0.611715548435,1.04050951259
Brasil,4.34539473684,0.690821649522,3.12790401354,1.97878075056,2.11975360764
Chile,3.37828947368,0.933188275244,3.05009881156,1.80764382191,1.96727225412
Colombia,2.05263157895,0.48322342137,2.96797558158,1.23476878616,1.39196561495
Costa Rica,1.92105263158,0.787411744306,2.41317950436,1.51753375752,1.49337184669
Ecuador,1.03618421053,0.458315426778,1.58648238444,1.23678979797,1.02561053647
El Salvador,1.21710526316,0.637543353924,0.980158804175,1.26701027822,1.02765672756
Guatemala,1.21710526316,1.55550732618,1.44648011827,1.33698623819,1.40098450034
Guyana,0.0657894736842,0.37262012987,0.705901097939,0.784592895147,0.541376782763
Haiti,1.31691729323,0.243937974187,0.071337373318,0.886137226217,0.635874482726
Honduras,1.48355263158,2.0563942148,1.56075050238,1.06368267755,1.49903680555
Jamaica,0.776315789474,0.262846968618,1.17628558849,1.09245869585,0.808727775621
México,3.83881578947,0.847641170993,3.01378372869,1.10354195222,1.72359905991
Nicaragua,0.973684210526,0.5266518643,1.52786449575,1.52509732635,1.14326679577
Panamá,1.26973684211,1.29844291183,0.934190662286,1.48450692691,1.31392476997
Paraguay,0.197368421053,0.256499938994,1.26360108336,0.490123267103,0.492144714201
Perú,2.11184210526,0.699258021638,2.48765856038,1.33889029539,1.43525862449
República Dominicana,0.710526315789,0.257339912985,2.20013008573,1.26289178735,1.01895714906
Surinam,0.197368421053,0.261874952804,0.250520896199,0.192614569073,0.222791711058
Trinidad y Tobago,0.947368421053,0.626261111111,0.502870198961,0.413309211295,0.570737810853
Uruguay,1.41118421053,0.885645126476,2.64003648881,2.03660255565,1.6880176651
Venezuela,1.33552631579,0.169987229318,0.597196856438,0.148851980684,0.400445436903
