name:es_aa,Cadenas de valor,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Andhra Pradesh,1.94078947368,0.479937082519,1.33175516655,1.40100358157,1.19526425342
Argentina,3.54934210526,0.21377972435,1.77049143569,1.31800612239,1.38931139741
Bahamas,0.641447368421,0.597803819444,0.416666666667,0.356262357504,0.480563194098
Bangladés,2.57086466165,0.664984000469,0.650810075187,1.29760643695,1.20178898545
Barbados,1.01644736842,0.363396671506,0.5625,0.741180975515,0.642333496921
Belice,0.460526315789,0.255392418906,1.21949651898,1.20523717512,0.810716020937
Birmania,2.6037593985,0.326845949695,0.210670592999,0.836456654833,0.854800945566
Bolivia,0.641447368421,1.7255849136,1.21287142584,0.611715548435,1.04050951259
Botsuana,1.22406015038,0.371326234315,0.355252898175,0.601364569023,0.588840655186
Brasil,4.34539473684,0.690821649522,3.12790401354,1.97878075056,2.11975360764
Camerún,0.664661654135,0.243298891799,0.884382085007,0.646361891866,0.563890985157
Chile,3.37828947368,0.933188275244,3.05009881156,1.80764382191,1.96727225412
China,5.0,1.45934133582,3.24311158772,1.54450661674,2.2920717856
Colombia,2.05263157895,0.48322342137,2.96797558158,1.23476878616,1.39196561495
Costa Rica,1.92105263158,0.787411744306,2.41317950436,1.51753375752,1.49337184669
Costa de Marfil,1.13909774436,0.00554706218149,0.418605529886,1.18773651849,0.710414217187
Ecuador,1.03618421053,0.458315426778,1.58648238444,1.23678979797,1.02561053647
El Salvador,1.21710526316,0.637543353924,0.980158804175,1.26701027822,1.02765672756
Etiopia,2.62932330827,0.529370416764,0.96616352332,1.17853437666,1.16954790043
Fujian,3.97697368421,0.826444266957,2.78179441937,1.38820998545,1.8170324898
Gansu,4.10526315789,1.60675381435,3.3651277527,1.62930203635,2.25430559544
Ghana,2.19661654135,0.17321944566,1.76095774495,1.05133338639,1.0661353312
Guangdong,4.22368421053,0.883651115252,3.2401277527,1.39262948008,1.94171892109
Guatemala,1.21710526316,1.55550732618,1.44648011827,1.33698623819,1.40098450034
Gujarat,2.14144736842,0.477513612347,1.24842183322,1.49606762241,1.25016151291
Guyana,0.0657894736842,0.37262012987,0.705901097939,0.784592895147,0.541376782763
Haiti,1.31691729323,0.243937974187,0.071337373318,0.886137226217,0.635874482726
Hebei,4.16447368421,1.00307526873,3.03179441937,1.53088150261,1.9927153972
Heilongjiang,4.35526315789,0.767225859357,3.03179441937,1.50340140042,1.93958695456
Honduras,1.48355263158,2.0563942148,1.56075050238,1.06368267755,1.49903680555
Hubei,4.15789473684,1.21305192718,3.1151277527,1.41256444848,2.01989473098
India,4.09868421053,0.659824790977,2.60242946654,1.51408264132,1.80874754538
Indonesia,3.76973684211,0.882698790181,2.43202029967,1.04828707293,1.61438803749
Jamaica,0.776315789474,0.262846968618,1.17628558849,1.09245869585,0.808727775621
Jiangsu,4.60526315789,1.08299841976,3.1151277527,1.44290095131,2.06011854304
Jilin,4.75,0.720061378086,3.19846108603,1.46754258026,1.99530460844
Karnataka,1.94078947368,0.502826243661,1.83175516655,1.6098776533,1.36068063045
Kenia,3.61560150376,0.798391030079,1.7414240779,1.75060589123,1.74331350277
Liberia,1.02988721805,0.433522496247,0.183486719535,1.4927344027,0.889949846251
Madhya Pradesh,0.720394736842,1.53658180684,0.748421833217,1.58310725454,1.31453992938
Maharashtra,2.00328947368,0.516693590598,1.08175516655,1.68035595199,1.28990715401
Malaui,1.44323308271,0.112779678552,1.59812962254,1.29292581555,1.00720863557
Mozambique,1.33778195489,0.361139006352,0.819278754332,0.843661822837,0.769365537424
