name:es_aa,Cadenas de valor,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Andhra Pradesh,1.30263157895,0.566584002493,1.18212603953,0.926801776137,0.913409553974
Argentina,2.82565789474,0.301373639566,1.7309453385,1.1712447476,1.24240047589
Bahamas,0.575657894737,0.63983625731,0.416666666667,0.465599180024,0.527039233413
Bangladés,2.57086466165,0.963627304942,0.657193651248,1.22755459884,1.26431877795
Barbados,0.884868421053,0.879818352439,0.5625,0.761270609288,0.785559012605
Belice,0.631578947368,0.674116124214,1.05282985232,1.30835170947,0.978236841005
Birmania,2.22086466165,0.262007975432,0.710670592999,0.647365709978,0.777278964819
Bolivia,0.825657894737,1.09728064655,1.33202851396,0.648963044475,0.912422373058
Botsuana,1.09906015038,0.302006355171,0.393240600051,0.765120142902,0.620495076276
Brasil,4.40789473684,0.574042860642,3.23665559959,2.13580676277,2.17321811376
Camerún,0.914661654135,0.274760768915,0.884382085007,0.732175858846,0.645155135084
Chile,3.18421052632,0.791184738546,3.47914926628,1.3839077707,1.79042249873
China,5.0,1.29208220977,3.12315983581,1.56765344621,2.23316001679
Colombia,1.98684210526,0.656087775663,2.94950224099,0.980636009613,1.32953238848
Costa Rica,1.78947368421,1.05453439892,2.41317950436,1.25324657648,1.44805692856
Costa de Marfil,1.24172932331,0.0451427873396,0.418605529886,1.06930104384,0.690313481715
Ecuador,0.720394736842,0.710195829977,1.58648238444,1.00387118198,0.960638789979
El Salvador,0.835526315789,1.12359865881,0.852182613699,1.32962298125,1.12208512957
Etiopia,2.62932330827,0.634631083054,0.96616352332,1.29842742941,1.24908332142
Fujian,1.02631578947,0.757993001682,1.28684266746,1.0647828702,1.00028481712
Gansu,0.381578947368,2.18959115991,2.20350933412,1.18784097648,1.51977698079
Ghana,2.44398496241,0.166646909155,1.77327825021,1.16944952707,1.15036336547
Guangdong,1.52105263158,0.772117792843,2.20350933412,1.07699892319,1.22111920198
Guatemala,1.21710526316,0.613303905547,1.44648011827,1.28249496778,1.09652696599
Gujarat,1.33157894737,0.742608855777,1.26545937286,1.06821735875,1.03962534827
Guyana,0.0657894736842,0.818537386999,0.705901097939,0.602206659396,0.602197465602
Haiti,1.57631578947,0.378862926078,0.071337373318,0.921195776385,0.729285162796
Hebei,0.921052631579,0.89778452087,2.03684266746,1.14010584214,1.16906198797
Heilongjiang,0.789473684211,0.917526309288,1.70350933412,1.02601031126,1.05960947004
Honduras,1.41776315789,0.64061962797,1.56075050238,1.28993088395,1.15493529101
Hubei,0.815789473684,0.851076283394,1.62017600079,0.946671653568,0.999386367616
India,4.09868421053,0.845060325096,2.68196700619,1.45948462841,1.8544096314
Indonesia,3.64473684211,0.442298381816,2.40675761013,1.20025103437,1.52051409613
Jamaica,1.02631578947,0.242477307833,1.17628558849,1.00039798908,0.803292594675
Jiangsu,1.19736842105,1.11987279883,2.12017600079,1.04906138452,1.25321805673
Jilin,0.539473684211,0.850415337232,2.20350933412,0.999194035243,1.06624966802
Karnataka,1.27631578947,0.993844247603,1.5987927062,1.6030212626,1.37062805367
Kenia,3.66560150376,0.962366132984,1.74349798642,1.56583314846,1.7264080228
Liberia,1.02988721805,0.516607816662,0.183486719535,1.43997110477,0.912976877545
Madhya Pradesh,0.563157894737,0.763959964299,0.765459372863,0.96097046051,0.812868763634
Maharashtra,1.10263157895,0.644099910757,1.18212603953,1.19139001936,1.01249962374
Malaui,1.61823308271,0.123146201844,1.01479628921,1.21240799271,0.916861463426
Mozambique,1.56146616541,0.311632836588,0.819278754332,0.837516132854,0.78560804208
México,2.81578947368,1.11633177015,3.02434065863,0.898183457537,1.57019243391
Nei Mongol,0.718421052632,1.37364671065,2.45350933412,1.07020327204,1.31596488002
Nepal,2.6530075188,0.555610002384,1.26485831049,1.3900039478,1.31036445423
Nicaragua,1.15789473684,1.16280939281,1.61119782908,1.51267890929,1.36927826645
Nigeria,3.29511278195,0.382117919799,0.986135733009,1.19032092147,1.23295102177
Pakistán,4.13082706767,0.452694683547,0.809572699033,1.21128904546,1.36138398825
Panamá,1.01973684211,0.891200247172,0.912425262994,1.39162777084,1.11383549825
Paraguay,0.197368421053,0.346887554188,1.26360108336,0.667611896339,0.590256450453
Perú,2.04605263158,0.882568976272,2.45961547674,1.39842462386,1.49999075867
Punjab,0.539473684211,0.677477631004,1.3487927062,0.944533156835,0.864296510596
Qinghai,0.486842105263,2.28628966964,1.87017600079,1.21360425963,1.52488132065
RD Congo,1.31729323308,0.663980702792,0.904959802709,0.755900032033,0.834892179019
Rajasthan,0.813157894737,1.28666017927,1.43212603953,1.07884854013,1.15433005997
República Dominicana,0.894736842105,0.307517045632,2.1167967524,1.5400061023,1.15998759379
Ruanda,1.85507518797,0.428255065123,0.666666666667,1.74027024419,1.20284589541
Senegal,2.15827067669,0.138837087496,0.440997944299,1.14395014745,0.889121478376
Shandong,1.22894736842,0.825204911938,1.70350933412,1.12904767898,1.13904905055
Sichuan,0.902631578947,0.894355610881,2.12017600079,0.978386051113,1.11308224067
Sierra Leona,0.912781954887,0.575008429223,0.265051784893,1.02732746242,0.7601085747
Sri Lanka,3.30921052632,0.360177525653,0.0769549543491,1.08029736671,1.04809702648
Sudáfrica,4.34210526316,1.53131065414,2.77953952083,0.991827333118,1.92437084709
Surinam,0.197368421053,0.46611197378,0.333854229532,0.218313641037,0.306842446137
Tamil Nadu,1.46052631579,0.842926062786,1.68212603953,1.18683669877,1.19901035164
Tanzania,3.0787593985,0.344007174611,0.972641806873,1.30988518038,1.23486640534
