name:es_aa,name:es_var,type_var,2014
Banglades,Es...Clean energy electricity generation,ind,0.0
Banglades,Es...Growth rate of electricity generation,ind,0.0
Banglades,Es...Biofuels production,ind,0.0
Banglades,Es...Growth rate biofuels production,ind,0.0
Banglades,Es...Average electricity spot prices,ind,0.014
Banglades,Es...Average retail electricity prices,ind,0.009
Banglades,Es...Average residential electricity prices,ind,0.0
Banglades,Es...Average commercial electricity prices,ind,0.0
Banglades,Es...Average industrial electricity prices,ind,0.0
Banglades,Es...Average kerosene prices,ind,0.021
Banglades,Es...Average diesel prices,ind,0.018
Banglades,Es...Growth rate of power demand,ind,0.013
Banglades,Es...Electrification rate,ind,0.003
Banglades,Es...Population using solid fuels for cooking,ind,0.018
Banglades,Financiamiento y Inversión,param,0.964
Banglades,Es...Clean energy investments,ind,0.0
Banglades,Es...Growth rate of clean energy investments,ind,0.0
Banglades,Es...Asset finance investments,ind,0.0
Banglades,Es...Corporate finance investments,ind,0.0
Banglades,Es...VC/PE investments,ind,0.0
Banglades,"Es...Loans, grants, grant programs",ind,0.009
Banglades,Es...Local investments,ind,0.0
Banglades,Es...Number of Green MFI,ind,0.078
Banglades,Es...Green micro-loans,ind,0.058
Banglades,Es...Green micro-borrowers,ind,0.024
Banglades,Es...Average cost of green micro debt,ind,0.007
Banglades,Es...Average cost of debt,ind,0.042
Banglades,Es...Swap rate,ind,0.07
Banglades,Cadenas de valor,param,3.211
Banglades,Es...Financial institutions in clean energy,ind,0.15
Banglades,Es...Value chains by clean energy sector,ind,0.012
Banglades,Es...Distributed clean energy value chains by sector,ind,0.094
Banglades,Es...Clean energy service providers,ind,0.098
Banglades,Es...Distributed clean energy service providers,ind,0.129
Banglades,Gestión de GEI,param,0.657
Banglades,Es...Carbon offsets historical activity,ind,0.0
Banglades,Es...CDM risk,ind,0.012
Banglades,Es...Carbon offsets future potential,ind,0.006
Banglades,Es...GHG emissions reduction target,ind,0.0
Banglades,Es...GHG country registry,ind,0.0
Banglades,Es...GHG market-based instruments,ind,0.0
Banglades,Es...PMR & NAMA,ind,0.0
Banglades,Es...Voluntary GHG reporting by corporates,ind,0.004
Banglades,Es...Investor pressure – PRI signatories,ind,0.0
Banglades,Es...Corporate energy efficiency initiatives,ind,0.0
Banglades,Es...Corporate emission reduction policies,ind,0.001
Banglades,Es...Capacity building – env. business training,ind,0.038
Banglades,Es...Capacity building – think tanks,ind,0.038
Banglades,Es...Global rank,rank,16.0
Banglades,Es...Regional rank,rank,6.0
Bolivia,Puntaje,score,0.915
Bolivia,Marco Propicio,param,0.655
Bolivia,Es...Clean energy policies,ind,0.0
Bolivia,Es...Power sector structure,ind,0.081
Bolivia,Es...Distributed energy regulatory framework,ind,0.0
Bolivia,Es...Clean energy rural electrification,ind,0.04
Bolivia,Es...Energy access policies,ind,0.0
Bolivia,Es...Policy barriers,ind,0.005
Bolivia,Es...Clean energy installed capacity,ind,0.05
Bolivia,Es...Growth rate of installed capacity,ind,0.0
Bolivia,Es...Clean energy electricity generation,ind,0.033
Bolivia,Es...Growth rate of electricity generation,ind,0.0
Bolivia,Es...Biofuels production,ind,0.0
Bolivia,Es...Growth rate biofuels production,ind,0.0
Bolivia,Es...Average electricity spot prices,ind,0.008
Bolivia,Es...Average retail electricity prices,ind,0.016
Bolivia,Es...Average residential electricity prices,ind,0.0
Bolivia,Es...Average commercial electricity prices,ind,0.0
Bolivia,Es...Average industrial electricity prices,ind,0.0
Bolivia,Es...Average kerosene prices,ind,0.0
Bolivia,Es...Average diesel prices,ind,0.0
Bolivia,Es...Growth rate of power demand,ind,0.026
Bolivia,Es...Electrification rate,ind,0.002
Bolivia,Es...Population using solid fuels for cooking,ind,0.0
Bolivia,Financiamiento y Inversión,param,1.097
Bolivia,Es...Clean energy investments,ind,0.0
Bolivia,Es...Growth rate of clean energy investments,ind,0.0
Bolivia,Es...Asset finance investments,ind,0.0
Bolivia,Es...Corporate finance investments,ind,0.0
Bolivia,Es...VC/PE investments,ind,0.0
Bolivia,"Es...Loans, grants, grant programs",ind,0.075
Bolivia,Es...Local investments,ind,0.006
Bolivia,Es...Number of Green MFI,ind,0.104
Bolivia,Es...Green micro-loans,ind,0.0
Bolivia,Es...Green micro-borrowers,ind,0.003
Bolivia,Es...Average cost of green micro debt,ind,0.005
Bolivia,Es...Average cost of debt,ind,0.049
Bolivia,Es...Swap rate,ind,0.088
Bolivia,Cadenas de valor,param,0.826
Bolivia,Es...Financial institutions in clean energy,ind,0.075
Bolivia,Es...Value chains by clean energy sector,ind,0.039
Bolivia,Es...Distributed clean energy value chains by sector,ind,0.0
Bolivia,Es...Clean energy service providers,ind,0.009
Bolivia,Es...Distributed clean energy service providers,ind,0.0
Bolivia,Gestión de GEI,param,1.332
Bolivia,Es...Carbon offsets historical activity,ind,0.075
Bolivia,Es...CDM risk,ind,0.0
Bolivia,Es...Carbon offsets future potential,ind,0.023
Bolivia,Es...GHG emissions reduction target,ind,0.0
Bolivia,Es...GHG country registry,ind,0.0
Bolivia,Es...GHG market-based instruments,ind,0.0
Bolivia,Es...PMR & NAMA,ind,0.0
Bolivia,Es...Voluntary GHG reporting by corporates,ind,0.027
Bolivia,Es...Investor pressure – PRI signatories,ind,0.0
Bolivia,Es...Corporate energy efficiency initiatives,ind,0.0
Bolivia,Es...Corporate emission reduction policies,ind,0.0
Bolivia,Es...Capacity building – env. business training,ind,0.038
Bolivia,Es...Capacity building – think tanks,ind,0.038
Bolivia,Es...Global rank,rank,36.0
Bolivia,Es...Regional rank,rank,17.0
