country,iso,value,unit,rank
China,cn,1470,$,1
Sweden,se,1786,$,2
Norway,no,2297,$,3
United States,us,4948,$,4
Canada,ca,5688,$,5
Belgium,be,6321,$,6
Spain,es,6321,$,7
Czechia,cz,6434,$,8
Hungary,hu,6767,$,9
Netherlands,nl,6784,$,10
