name:en_aa,2016,2015,2014
Argentina,2.95394736842,3.54934210526,2.82565789474
Barbados,1.08223684211,1.01644736842,0.884868421053
Bangladesh,2.84981203008,2.57086466165,2.57086466165
Bolivia,0.710526315789,0.641447368421,0.825657894737
Brazil,4.34539473684,4.34539473684,4.40789473684
Bahamas,0.641447368421,0.641447368421,0.575657894737
Botswana,1.34906015038,1.22406015038,1.09906015038
Belize,0.460526315789,0.460526315789,0.631578947368
DR Congo,0.715977443609,0.715977443609,1.31729323308
Côte d'Ivoire,1.28909774436,1.13909774436,1.24172932331
Chile,3.44407894737,3.37828947368,3.18421052632
Cameroon,1.13703007519,0.664661654135,0.914661654135
China,5.0,5.0,5.0
Colombia,2.11513157895,2.05263157895,1.98684210526
Costa Rica,1.92105263158,1.92105263158,1.78947368421
Dominican Republic,0.776315789474,0.710526315789,0.894736842105
Ecuador,1.03618421053,1.03618421053,0.720394736842
Egypt,1.46381578947,,
Ethiopia,2.11616541353,2.62932330827,2.62932330827
Ghana,2.2492481203,2.19661654135,2.44398496241
Guatemala,1.21710526316,1.21710526316,1.21710526316
Guyana,0.0657894736842,0.0657894736842,0.0657894736842
Honduras,1.35197368421,1.48355263158,1.41776315789
Haiti,1.31691729323,1.31691729323,1.57631578947
Indonesia,4.08552631579,3.76973684211,3.64473684211
India,4.42434210526,4.09868421053,4.09868421053
Andhra Pradesh,2.00657894737,1.94078947368,1.30263157895
Bihar,1.61184210526,,
Madhya Pradesh,1.87828947368,0.720394736842,0.563157894737
Odisha,1.55263157895,,
Uttar Pradesh,1.61842105263,1.36842105263,0.897368421053
West Bengal,1.94078947368,1.94078947368,1.02631578947
Jamaica,0.776315789474,0.776315789474,1.02631578947
Jordan,1.77631578947,,
Kenya,3.58928571429,3.61560150376,3.66560150376
Lebanon,1.90131578947,,
Sri Lanka,3.11513157895,3.30921052632,3.30921052632
Liberia,1.13120300752,1.02988721805,1.02988721805
Myanmar,2.3734962406,2.6037593985,2.22086466165
Malawi,1.46954887218,1.44323308271,1.61823308271
Mexico,3.83881578947,3.83881578947,2.81578947368
Mozambique,1.33778195489,1.33778195489,1.56146616541
Nigeria,3.01879699248,3.29511278195,3.29511278195
Nicaragua,0.973684210526,0.973684210526,1.15789473684
Nepal,2.90563909774,2.6530075188,2.6530075188
Panama,1.26973684211,1.26973684211,1.01973684211
Peru,2.11184210526,2.11184210526,2.04605263158
Pakistan,4.35,4.32368421053,4.13082706767
Paraguay,0.263157894737,0.197368421053,0.197368421053
Rwanda,2.63270676692,1.85507518797,1.85507518797
Sierra Leone,0.862781954887,0.862781954887,0.912781954887
Senegal,2.20958646617,1.85827067669,2.15827067669
Suriname,0.197368421053,0.197368421053,0.197368421053
El Salvador,1.21710526316,1.21710526316,0.835526315789
Tajikistan,0.638157894737,0.763157894737,0.763157894737
Trinidad and Tobago,0.947368421053,0.947368421053,0.631578947368
Tanzania,2.28139097744,2.55770676692,3.0787593985
Uganda,3.80056390977,3.8492481203,3.92556390977
Uruguay,1.41118421053,1.41118421053,1.16118421053
Venezuela,1.33552631579,1.33552631579,0.888157894737
Vietnam,3.44736842105,3.1875,2.99013157895
South Africa,4.40789473684,4.27631578947,4.34210526316
Zambia,1.74003759398,1.99398496241,2.39530075188
Zimbabwe,1.31409774436,1.03909774436,1.26541353383
