name:en_aa,2016,2015,2014
Argentina,0.256652054835,0.21377972435,0.301373639566
Barbados,0.49967412207,0.363396671506,0.879818352439
Bangladesh,0.339551692393,0.664984000469,0.963627304942
Bolivia,0.534723344717,1.7255849136,1.09728064655
Brazil,1.00439272958,0.690821649522,0.574042860642
Bahamas,0.82821898386,0.597803819444,0.63983625731
Botswana,0.494716981132,0.371326234315,0.302006355171
Belize,0.563296303939,0.255392418906,0.674116124214
DR Congo,0.210320855615,0.188008332087,0.663980702792
Côte d'Ivoire,0.0268180747481,0.00554706218149,0.0451427873396
Chile,1.92450253899,0.933188275244,0.791184738546
Cameroon,0.322210173192,0.243298891799,0.274760768915
China,2.19429371742,1.45934133582,1.29208220977
Colombia,0.451895691221,0.48322342137,0.656087775663
Costa Rica,0.843306391459,0.787411744306,1.05453439892
Dominican Republic,0.732539521006,0.257339912985,0.307517045632
Ecuador,0.450205714332,0.458315426778,0.710195829977
Egypt,0.352402838648,,
Ethiopia,0.937921768465,0.529370416764,0.634631083054
Ghana,0.559566781912,0.17321944566,0.166646909155
Guatemala,0.713756078012,1.55550732618,0.613303905547
Guyana,0.315162654284,0.37262012987,0.818537386999
Honduras,2.5983303809,2.0563942148,0.64061962797
Haiti,0.343806511408,0.243937974187,0.378862926078
Indonesia,0.507902372573,0.882698790181,0.442298381816
India,1.18895414838,0.659824790977,0.845060325096
Andhra Pradesh,0.300557796195,0.479937082519,0.566584002493
Bihar,0.00110404798788,,
Madhya Pradesh,0.0,1.53658180684,0.763959964299
Odisha,0.0,,
Uttar Pradesh,2.38680385254e-05,0.516687514645,0.417018534207
West Bengal,0.00179424566707,0.319484697668,0.33730489423
Jamaica,2.03370474075,0.262846968618,0.242477307833
Jordan,1.61971829427,,
Kenya,1.22493844228,0.798391030079,0.962366132984
Lebanon,0.554724964739,,
Sri Lanka,0.718178812953,0.847789116483,0.360177525653
Liberia,1.74175210098,0.433522496247,0.516607816662
Myanmar,0.325095858789,0.326845949695,0.262007975432
Malawi,0.179,0.112779678552,0.123146201844
Mexico,1.54069352266,0.847641170993,1.11633177015
Mozambique,0.273170009176,0.361139006352,0.311632836588
Nigeria,0.244260387487,1.12647764628,0.382117919799
Nicaragua,1.33018476661,0.5266518643,1.16280939281
Nepal,0.557471835715,1.67597070254,0.555610002384
Panama,0.974761465879,1.29844291183,0.891200247172
Peru,0.748878435627,0.699258021638,0.882568976272
Pakistan,0.936990574884,0.387807980638,0.452694683547
Paraguay,0.213427159999,0.256499938994,0.346887554188
Rwanda,0.560702220989,0.772763813748,0.428255065123
Sierra Leone,1.73998398292,0.49322361701,0.575008429223
Senegal,0.0716097033215,0.0240649469768,0.138837087496
Suriname,0.353692802976,0.261874952804,0.46611197378
El Salvador,0.507900845625,0.637543353924,1.12359865881
Tajikistan,0.158327554313,0.136701804894,0.21983388868
Trinidad and Tobago,0.48088448432,0.626261111111,0.865545494271
Tanzania,1.3434571722,0.476096956865,0.344007174611
Uganda,1.63157230104,0.651375030644,0.487560046103
Uruguay,2.13887010518,0.885645126476,2.02727913772
Venezuela,0.232116135986,0.169987229318,0.190447918741
Vietnam,0.895117326417,0.432240355127,0.445121230898
South Africa,1.76762507942,0.564417994804,1.53131065414
Zambia,0.343845082834,0.296534225814,0.368834220371
Zimbabwe,0.677361906793,0.212931719264,0.271581505973
