iso,region,position,country,value,unit
CN,asia,1,Mainland China,333.88,GW
US,amer,2,United States,123.68,GW
JP,asia,3,Japan,77.88,GW
IN,asia,4,India,60.1,GW
DE,eu,5,Germany,59.91,GW
AU,asia,6,Australia,23.14,GW
IT,eu,7,Italy,22.39,GW
KR,asia,8,South Korea,21.45,GW
ES,eu,9,Spain,19.09,GW
VN,asia,10,Vietnam,19.09,GW
