country,iso,value,unit,rank
Mainland China,cn,6.07,mn,1
India,in,0.05,mn,2
Thailand,th,0.02,mn,3
Brazil,br,0.02,mn,4
Taiwan,tw,0.02,mn,5
Ukraine,ua,0.02,mn,6
Romania,ro,0.02,mn,7
Indonesia,id,0.01,mn,8
Mexico,mx,0.01,mn,9
Philippines,ph,0.01,mn,10
