2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,indicator,unit
0.0003,0.0371,0.1049,0.1809,0.2655,0.455,0.7212,1.0997,1.9501,2.1325,3.2128,6.5592,annual EV sales,million vehicle sales
,,,,,,,,,,,,,
