name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Andhra Pradesh,0.926801776137,0.566584002493,1.18212603953,0.913409553974,1.30263157895
Bangladesh,1.22755459884,0.963627304942,0.657193651248,1.26431877795,2.57086466165
China,1.56765344621,1.29208220977,3.12315983581,2.23316001679,5.0
Fujian,1.0647828702,0.757993001682,1.28684266746,1.00028481712,1.02631578947
Gansu,1.18784097648,2.18959115991,2.20350933412,1.51977698079,0.381578947368
Guangdong,1.07699892319,0.772117792843,2.20350933412,1.22111920198,1.52105263158
Gujarat,1.06821735875,0.742608855777,1.26545937286,1.03962534827,1.33157894737
Hebei,1.14010584214,0.89778452087,2.03684266746,1.16906198797,0.921052631579
Heilongjiang,1.02601031126,0.917526309288,1.70350933412,1.05960947004,0.789473684211
Hubei,0.946671653568,0.851076283394,1.62017600079,0.999386367616,0.815789473684
India,1.45948462841,0.845060325096,2.68196700619,1.8544096314,4.09868421053
Indonesia,1.20025103437,0.442298381816,2.40675761013,1.52051409613,3.64473684211
Jiangsu,1.04906138452,1.11987279883,2.12017600079,1.25321805673,1.19736842105
Jilin,0.999194035243,0.850415337232,2.20350933412,1.06624966802,0.539473684211
Karnataka,1.6030212626,0.993844247603,1.5987927062,1.37062805367,1.27631578947
Madhya Pradesh,0.96097046051,0.763959964299,0.765459372863,0.812868763634,0.563157894737
Maharashtra,1.19139001936,0.644099910757,1.18212603953,1.01249962374,1.10263157895
Myanmar,0.647365709978,0.262007975432,0.710670592999,0.777278964819,2.22086466165
Nei Mongol,1.07020327204,1.37364671065,2.45350933412,1.31596488002,0.718421052632
Nepal,1.3900039478,0.555610002384,1.26485831049,1.31036445423,2.6530075188
Pakistan,1.21128904546,0.452694683547,0.809572699033,1.36138398825,4.13082706767
Punjab,0.944533156835,0.677477631004,1.3487927062,0.864296510596,0.539473684211
Qinghai,1.21360425963,2.28628966964,1.87017600079,1.52488132065,0.486842105263
Rajasthan,1.07884854013,1.28666017927,1.43212603953,1.15433005997,0.813157894737
Shandong,1.12904767898,0.825204911938,1.70350933412,1.13904905055,1.22894736842
Sichuan,0.978386051113,0.894355610881,2.12017600079,1.11308224067,0.902631578947
Sri Lanka,1.08029736671,0.360177525653,0.0769549543491,1.04809702648,3.30921052632
Tajikistan,0.451215521072,0.21983388868,0.801416053377,0.48112246725,0.763157894737
Tamil Nadu,1.18683669877,0.842926062786,1.68212603953,1.19901035164,1.46052631579
Uttar Pradesh,0.860646089758,0.417018534207,1.0987927062,0.768788165253,0.897368421053
Vietnam,1.3263766328,0.445121230898,1.99772178542,1.41226502704,2.99013157895
West Bengal,1.00309228852,0.33730489423,0.848792706196,0.783694658027,1.02631578947
Xinjiang,1.23578698051,1.62699964017,2.45350933412,1.44715161069,0.644736842105
Xizang,1.11284050664,1.07034198971,0.953509334122,0.95465993653,0.302631578947
Yunnan,1.06948720856,1.03805400679,2.45350933412,1.20394801189,0.644736842105
